dateTime,pc0_1,pc0_3,pc0_5,pc1_0,pc2_5,pc5_0,pc10_0,pm0_1,pm0_3,pm0_5,pm1_0,pm2_5,pm5_0,pm10_0
22:05.6,118715,35285,11158,799,109,0,0,0.108637489,0.980469167,2.256855965,2.988666534,3.382744312,3.410027742,3.410027742
22:22.7,119066,35369,11148,859,123,0,0,0.10895817,0.98286128,2.258060217,3.044874191,3.492040873,3.521520853,3.521520853
22:30.7,119433,35560,11212,865,123,0,0,0.109294623,0.987902462,2.270437002,3.062550545,3.507931948,3.535215616,3.535215616
55:34.4,121721,34471,10351,558,32,0,0,0.111387961,0.963107467,2.147093058,2.658633232,2.777697563,2.783141851,2.783141851
55:50.4,121905,34354,11097,608,31,0,0,0.111555912,0.960375905,2.229705811,2.786973715,2.901571512,2.912491083,2.912491083
56:07.5,121182,35626,12861,667,57,0,0,0.110894524,0.991138399,2.462255955,3.072782278,3.279901505,3.290821075,3.290821075
56:15.5,121427,36069,13542,729,59,0,0,0.111119308,1.002325892,2.551351309,3.218495846,3.434678316,3.451042414,3.451042414
56:33.3,121896,36798,14007,763,63,0,0,0.111547858,1.020763755,2.622999907,3.321782589,3.549832582,3.566196442,3.566196442
00:18.4,123372,37474,13271,723,99,1,0,0.112898439,1.038817525,2.556892872,3.219222307,3.57935667,3.623035192,3.623035192
00:26.4,123418,37452,13146,715,91,1,0,0.11294087,1.038300633,2.542084694,3.197078705,3.52760601,3.563643694,3.563643694
00:34.4,123208,37277,12859,717,81,0,0,0.112748489,1.033786535,2.504742384,3.161028624,3.455440521,3.482723951,3.482723951
00:50.5,123170,37514,12593,743,71,0,0,0.112713717,1.039607406,2.480041742,3.160501242,3.418924332,3.438567162,3.438567162
01:07.5,119658,34706,10900,687,21,0,0,0.109500542,0.967006743,2.21381712,2.843183517,2.920646906,2.920646906,2.920646906
01:15.5,119368,34508,10713,693,21,0,0,0.109234832,0.961870492,2.187268019,2.8219347,2.900033951,2.900033951,2.900033951
01:33.3,119462,34456,10653,741,26,0,0,0.10932073,0.9606511,2.179238081,2.858081579,2.953027964,2.958472252,2.958472252
01:41.3,119596,34369,10604,784,30,0,0,0.109442979,0.958641708,2.171573639,2.889875412,3.000133038,3.011052608,3.011052608
01:49.3,119523,34210,10518,813,33,0,0,0.109377019,0.954651058,2.157779455,2.901805878,3.024187326,3.040551424,3.040551424
02:05.4,122843,36244,10508,618,35,0,0,0.112414762,1.007922053,2.209959745,2.776018381,2.905804396,2.911248684,2.911248684
03:20.4,120033,35591,11289,598,24,0,0,0.109843217,0.989218056,2.280554533,2.828579903,2.918803215,2.924247742,2.924247742
03:37.5,117341,36108,12186,488,24,0,0,0.107379429,0.999541402,2.393434048,2.840858221,2.928913355,2.928913355,2.928913355
03:45.5,118276,36629,12160,499,25,0,0,0.108235337,1.013257742,2.404262304,2.860929012,2.951408863,2.951408863,2.951408863
04:03.4,119305,37133,12278,534,27,0,0,0.109176658,1.02665031,2.431049347,2.91983819,3.01759243,3.01759243,3.01759243
04:11.4,120133,37528,12538,588,30,0,0,0.109935157,1.037187457,2.471352577,3.009812593,3.11917758,3.124621868,3.124621868
04:19.4,120433,37551,12626,627,30,0,0,0.110209532,1.038032413,2.482340574,3.056962729,3.16811657,3.17903614,3.17903614
